snippet_id,baseline,readability_score
50,stackoverflow,0.8952666521072388
50,chatgpt,0.4447648525238037
50,chatgpt2025,0.9242251912752787
50,deepseek,0.7376749515533447
50,Gemini,0.8539835214614868
51,stackoverflow,0.42139628529548645
51,chatgpt,0.5718246698379517
51,chatgpt2025,0.15738511085510254
51,deepseek,0.23120442032814026
51,Gemini,0.3418615460395813
52,stackoverflow,0.998376876115799
52,chatgpt,0.9733410875002543
52,chatgpt2025,0.8974635750055313
52,deepseek,0.7777784466743469
52,Gemini,0.8659932812054952
53,stackoverflow,0.5282151848077774
53,chatgpt,0.5766083002090454
53,chatgpt2025,0.5744485855102539
53,deepseek,0.31618475914001465
53,Gemini,0.004440038464963436
55,stackoverflow,0.6467168927192688
55,chatgpt,0.4847383499145508
55,chatgpt2025,0.8758459091186523
55,deepseek,0.9006049633026123
55,Gemini,0.8158665299415588
56,stackoverflow,0.7762598395347595
56,chatgpt,0.7059114575386047
56,chatgpt2025,0.4133342206478119
56,deepseek,0.43380099534988403
56,Gemini,0.762675404548645
57,stackoverflow,0.7807206710179647
57,chatgpt,0.8439955711364746
57,chatgpt2025,0.8076273560523987
57,deepseek,0.667344868183136
57,Gemini,0.9527161121368408
58,stackoverflow,0.5723649263381958
58,chatgpt,0.2576068341732025
58,chatgpt2025,0.4312794804573059
58,deepseek,0.08925044536590576
58,Gemini,0.5974933505058289
59,stackoverflow,0.7989005446434021
59,chatgpt,0.6689294576644897
59,chatgpt2025,0.6872962117195129
59,deepseek,0.7404604554176331
59,Gemini,0.5557085275650024
60,stackoverflow,0.20052292943000793
60,chatgpt,0.12595547558157705
60,chatgpt2025,0.1252976953983307
60,deepseek,0.49608033895492554
60,Gemini,0.3415767351786296
61,stackoverflow,0.7407745718955994
61,chatgpt,0.8500866293907166
61,chatgpt2025,0.8541525602340698
61,deepseek,0.9502483010292053
61,Gemini,0.9236855506896973
62,stackoverflow,0.21452519297599792
62,chatgpt,0.08778233826160431
62,chatgpt2025,0.3912850022315979
62,deepseek,0.09515830874443054
62,Gemini,0.3827981948852539
63,stackoverflow,0.8415842056274414
63,chatgpt,0.8137702941894531
63,chatgpt2025,0.7064851522445679
63,deepseek,0.5076892375946045
63,Gemini,0.16749626398086548
64,stackoverflow,0.4946443736553192
64,chatgpt,0.7743307948112488
64,chatgpt2025,0.8570368885993958
64,deepseek,0.7980833649635315
64,Gemini,0.282875657081604
65,stackoverflow,0.5651283264160156
65,chatgpt,0.30179738998413086
65,chatgpt2025,0.4267005920410156
65,deepseek,0.5196588039398193
65,Gemini,0.49055278301239014
66,stackoverflow,0.1371505856513977
66,chatgpt,0.7364357113838196
66,chatgpt2025,0.7593943476676941
66,deepseek,0.8572208881378174
